length, cache, recompute
1024, 1.24023438, 9.28710938
2048, 1.06933594, 8.45214844
4096, 0.95458984, 8.31298828
8192, 0.90576172, 8.12622070
16384, 0.88439941, 8.06396484
32768, 0.85906982, 8.03375244
65536, 0.86730957, 8.06762695
131072, 0.89187622, 8.08929443
262144, 0.88325500, 7.93109894
524288, 0.88499069, 7.97164917
1048576, 0.88428497, 7.96220779
2097152, 0.99174023, 7.98916340
4194304, 1.15008831, 8.02562714
8388608, 1.23820305, 8.02719474
16777216, 1.27435923, 8.00690234
33554432, 1.28938973, 8.01217079
